"","district_name","Pct_Homeless_2018","district_lea","district_bak"
"212","MALVERN SCHOOL DISTRICT",0.00412371134020619,3004000,"MALVERN__"
"213","KIPP DELTA PUBLIC SCHOOLS",0.00409165302782324,5440700,"KIPP_DELTA_PUBLIC_S"
"214","WARREN SCHOOL DISTRICT",0.00382409177820268,602000,"WARREN__"
"215","PANGBURN SCHOOL DISTRICT",0.00381679389312977,7309000,"PANGBURN__"
"216","EARLE SCHOOL DISTRICT",0.0037037037037037,1802000,"EARLE__"
"217","BERGMAN SCHOOL DISTRICT",0.00368663594470046,502000,"BERGMAN__"
"218","WOODLAWN SCHOOL DISTRICT",0.0035778175313059,1304000,"WOODLAWN__"
"219","CORNING SCHOOL DISTRICT",0.00356294536817102,1101000,"CORNING__"
"220","BENTON SCHOOL DISTRICT",0.00342589253516048,6302000,"BENTON__"
"221","ARKANSAS VIRTUAL ACADEMY",0.00338839474798814,6043700,"ARKANSAS_VIRTUAL_ACADEMY"
"222","COSSATOT RIVER SCHOOL DISTRICT",0.00304259634888438,5707000,"COSSATOT_RIVER__"
"223","CABOT SCHOOL DISTRICT",0.00262339681305869,4304000,"CABOT__"
"224","MINERAL SPRINGS SCHOOL DISTRICT",0.00251256281407035,3104000,"MINERAL_SPRINGS__"
"225","HEBER SPRINGS SCHOOL DISTRICT",0.00249687890137328,1202000,"HEBER_SPRINGS__"
"226","HORATIO SCHOOL DISTRICT",0.00234741784037559,6703000,"HORATIO__"
"227","LAKESIDE SCHOOL DIST(CHICOT)",0.00200400801603206,903000,"LAKESIDE__DIST(CHICOT)"
"228","DECATUR SCHOOL DISTRICT",0.00180831826401447,402000,"DECATUR__"
"229","LISA ACADEMY",0.0018034265103697,6041700,"LISA_ACADEMY"
"230","DIERKS SCHOOL DISTRICT",0.00175131348511384,3102000,"DIERKS__"
"231","SPRING HILL SCHOOL DISTRICT",0.0016366612111293,2906000,"SPRING_HILL__"
"232","BEEBE SCHOOL DISTRICT",0.00122586576769844,7302000,"BEEBE__"
"233","PIGGOTT SCHOOL DISTRICT",0.00118343195266272,1104000,"PIGGOTT__"
"234","MELBOURNE SCHOOL DISTRICT",0.00117924528301887,3302000,"MELBOURNE__"
"235","PRESCOTT SCHOOL DISTRICT",0.00102459016393443,5006000,"PRESCOTT__"
"236","SHERIDAN SCHOOL DISTRICT",0.000733317037399169,2705000,"SHERIDAN__"
"237","JACKSONVILLE NORTH PULASKI SCHOOL DIS",0.000505305709954523,6004000,"JACKSONVILLE_NORTH_PULASKI__DIS"
"238","ARK. SCHOOL FOR THE BLIND",0,6091000,"ARK.__FOR_THE_BLIND"
"239","ARK. SCHOOL FOR THE DEAF",0,6092000,"ARK.__FOR_THE_DEAF"
"240","ARKADELPHIA SCHOOL DISTRICT",0,1002000,"ARKADELPHIA__"
"241","COVENANTKEEPERS CHARTER SCHOOL",0,6044700,"COVENANTKEEPERS_CHARTER_"
"242","CROSSETT SCHOOL DISTRICT",0,201000,"CROSSETT__"
"243","DEER/MT. JUDEA SCHOOL DISTRICT",0,5106000,"DEER/MT._JUDEA__"
"244","DERMOTT SCHOOL DISTRICT",0,901000,"DERMOTT__"
"245","DIVISION OF YOUTH SERVICES SCHOOL SYS",0,6094000,"DIVISION_OF_YOUTH_SERVICES__SYS"
"246","EXALT ACADEMY OF SOUTHWEST LITTLE ROC",0,6055700,"EXALT_ACADEMY_OF_SOUTHWEST_LITTLE_ROC"
"247","FOREMAN SCHOOL DISTRICT",0,4102000,"FOREMAN__"
"248","FUTURE SCHOOL OF FORT SMITH",0,6640700,"FUTURE__OF_FORT_SMITH"
"249","GURDON SCHOOL DISTRICT",0,1003000,"GURDON__"
"250","HAAS HALL ACADEMY",0,7240700,"HAAS_HALL_ACADEMY"
"251","HAAS HALL BENTONVILLE",0,443700,"HAAS_HALL_BENTONVILLE"
"252","HARMONY GROVE SCHOOL DISTRICT (OUACHI",0,5205000,"HARMONY_GROVE___(OUACHI"
"253","JACKSONVILLE LIGHTHOUSE CHARTER",0,6050700,"JACKSONVILLE_LIGHTHOUSE_CHARTER"
"254","LITTLE ROCK PREPARATORY ACADEMY",0,6049700,"LITTLE_ROCK_PREPARATORY_ACADEMY"
"255","MARVELL-ELAINE SCHOOL DISTRICT",0,5404000,"MARVELL-ELAINE__"
"256","MOUNTAIN VIEW SCHOOL DISTRICT",0,6901000,"MOUNTAIN_VIEW__"
"257","RESPONSIVE ED SOLUTIONS NORTHWEST ARK",0,442700,"RESPONSIVE_ED_SOLUTIONS_NORTHWEST_ARK"
"258","RESPONSIVE ED SOLUTIONS PREMIER HIGH",0,6053700,"RESPONSIVE_ED_SOLUTIONS_PREMIER_HIGH"
"259","SCHOLARMADE ACHIEVEMENT PLACE",0,6060700,"SCHOLARMADE_ACHIEVEMENT_PLACE"
"260","SIATECH LITTLE ROCK CHARTER",0,6052700,"SIATECH_LITTLE_ROCK_CHARTER"
"261","SOUTHEAST ARKANSAS PREPARATORY HIGH S",0,3543700,"SOUTHEAST_ARKANSAS_PREPARATORY_HIGH_S"
"262","STRONG-HUTTIG SCHOOL DISTRICT",0,7009000,"STRONG-HUTTIG__"
"263","WHITE HALL SCHOOL DISTRICT",0,3510000,"WHITE_HALL__"
"264","THE EXCEL CENTER",NA,6058700,"THE_EXCEL_CENTER"
